SNO,PIN_Code,State_Name,Lat,Long
373,533339,ANDHRA PRADESH,17.3701,81.6107
374,533292,ANDHRA PRADESH,17.3749,81.9018
375,533125,ANDHRA PRADESH,16.9471,81.7816
376,533286,ANDHRA PRADESH,17.5292,82.201
377,533105,ANDHRA PRADESH,17.4501,82.0572
378,533124,ANDHRA PRADESH,16.9315,81.807
379,533126,ANDHRA PRADESH,16.9167,81.8333
380,533289,ANDHRA PRADESH,16.8221,81.221
381,533290,ANDHRA PRADESH,16.7615,80.3207
382,533295,ANDHRA PRADESH,17.5881,81.646
383,533106,ANDHRA PRADESH,17.3621,82.1814
384,533294,ANDHRA PRADESH,17.096,81.8809
385,533288,ANDHRA PRADESH,17.5508,81.8523
386,533287,ANDHRA PRADESH,17.211,81.8908
387,533293,ANDHRA PRADESH,17.064,81.6996
388,533343,ANDHRA PRADESH,17.0047,82.0421
389,533261,ANDHRA PRADESH,16.5179,80.6505
390,533263,ANDHRA PRADESH,16.99,81.6707
391,533262,ANDHRA PRADESH,17.0696,82.2028
392,533306,ANDHRA PRADESH,17.5795,81.8979
393,533305,ANDHRA PRADESH,18.1656,83.2541
394,533345,ANDHRA PRADESH,17.1761,82.2318
395,533256,ANDHRA PRADESH,17.077,82.1384
396,533346,ANDHRA PRADESH,17.0219,82.2257
397,533233,ANDHRA PRADESH,16.7833,81.9
398,533342,ANDHRA PRADESH,16.9341,81.9552
399,533307,ANDHRA PRADESH,17.0787,81.6696
400,533232,ANDHRA PRADESH,17.293,82.2794
401,533341,ANDHRA PRADESH,17.5283,82.307
402,533309,ANDHRA PRADESH,16.0333,80.1273
403,533264,ANDHRA PRADESH,17.1881,82.0802
404,533308,ANDHRA PRADESH,16.1154,80.4227
405,533340,ANDHRA PRADESH,17.1761,82.2318
406,533234,ANDHRA PRADESH,16.936,81.8973
407,533285,ANDHRA PRADESH,17.2972,81.8624
408,516330,ANDHRA PRADESH,14.9545,78.7096
409,524319,ANDHRA PRADESH,15.5158,80.0172
410,524347,ANDHRA PRADESH,,
411,522238,ANDHRA PRADESH,,
412,534320,ANDHRA PRADESH,16.6536,81.7455
413,534124,ANDHRA PRADESH,16.6434,81.6516
414,534328,ANDHRA PRADESH,17.1851,81.4065
415,534327,ANDHRA PRADESH,16.9497,81.6822
416,534238,ANDHRA PRADESH,16.5556,81.4012
417,534247,ANDHRA PRADESH,16.5862,81.4782
418,534208,ANDHRA PRADESH,16.4972,81.5074
419,534275,ANDHRA PRADESH,16.4573,81.6369
420,534211,ANDHRA PRADESH,16.7593,81.6753
421,534326,ANDHRA PRADESH,16.5618,81.0607
422,534280,ANDHRA PRADESH,16.4101,81.6473
423,534202,ANDHRA PRADESH,16.8327,80.8508
424,534201,ANDHRA PRADESH,16.5408,81.5232
425,534204,ANDHRA PRADESH,16.527,81.4332
426,534243,ANDHRA PRADESH,16.5862,81.4782
427,534207,ANDHRA PRADESH,16.4807,81.6278
428,534199,ANDHRA PRADESH,16.6429,81.4885
429,534324,ANDHRA PRADESH,17.0067,81.3397
430,534222,ANDHRA PRADESH,17.3827,81.7704
431,534215,ANDHRA PRADESH,16.7743,81.6752
432,534245,ANDHRA PRADESH,16.5862,81.4782
433,534216,ANDHRA PRADESH,16.7756,81.6783
434,534236,ANDHRA PRADESH,16.6353,81.47
435,534235,ANDHRA PRADESH,16.5672,81.3963
436,534126,ANDHRA PRADESH,16.3927,80.5026
437,534230,ANDHRA PRADESH,16.5276,81.109
438,534123,ANDHRA PRADESH,16.3905,81.2707
439,534239,ANDHRA PRADESH,16.4896,81.5278
440,534266,ANDHRA PRADESH,16.5591,81.2876
441,534268,ANDHRA PRADESH,16.2872,80.91
442,534267,ANDHRA PRADESH,16.7667,81.5847
443,534217,ANDHRA PRADESH,16.7743,81.6752
444,534265,ANDHRA PRADESH,16.5685,81.3084
445,534237,ANDHRA PRADESH,16.5371,81.4099
446,534338,ANDHRA PRADESH,16.6222,80.8847
447,534330,ANDHRA PRADESH,16.143,79.9287
448,534269,ANDHRA PRADESH,16.3474,80.7829
449,534240,ANDHRA PRADESH,16.5862,81.4782
450,534206,ANDHRA PRADESH,16.5308,81.4718
451,534260,ANDHRA PRADESH,16.4838,81.7318
452,534250,ANDHRA PRADESH,16.4959,81.6508
453,534218,ANDHRA PRADESH,16.77,81.6564
454,534122,ANDHRA PRADESH,16.7742,80.3197
455,534209,ANDHRA PRADESH,16.3789,81.2547
456,534281,ANDHRA PRADESH,16.3898,81.5173
457,534227,ANDHRA PRADESH,16.7866,81.7228
458,534210,ANDHRA PRADESH,16.7743,81.6752
459,534244,ANDHRA PRADESH,16.5862,81.4782
460,517370,ANDHRA PRADESH,13.981,77.8284
461,517351,ANDHRA PRADESH,13.9726,77.9976
462,517319,ANDHRA PRADESH,14.0631,78.1928
463,517257,ANDHRA PRADESH,13.4748,78.8101
464,517325,ANDHRA PRADESH,13.5503,78.5029
465,517350,ANDHRA PRADESH,13.6522,78.4817
466,517326,ANDHRA PRADESH,14.0987,78.3306
467,517417,ANDHRA PRADESH,13.918,77.5586
468,517390,ANDHRA PRADESH,14.3485,78.5142
469,517408,ANDHRA PRADESH,13.2007,78.7468
470,517124,ANDHRA PRADESH,13.3839,79.0821
471,517403,ANDHRA PRADESH,13.1009,79.1842
472,517001,ANDHRA PRADESH,13.2105,79.0956
473,517421,ANDHRA PRADESH,13.8709,78.06
474,517599,ANDHRA PRADESH,13.959,77.6751
475,517422,ANDHRA PRADESH,13.5659,78.5187
476,517280,ANDHRA PRADESH,13.5698,78.669
477,517391,ANDHRA PRADESH,14.0705,77.9231
478,517247,ANDHRA PRADESH,14.5057,77.8985
479,517352,ANDHRA PRADESH,13.7778,78.3286
480,517414,ANDHRA PRADESH,13.505,78.7456
481,517123,ANDHRA PRADESH,15.655,80.0091
482,517129,ANDHRA PRADESH,16.3027,80.539
483,517002,ANDHRA PRADESH,13.4121,79.2304
484,517004,ANDHRA PRADESH,13.6137,79.3652
485,517125,ANDHRA PRADESH,13.2331,79.1816
486,517130,ANDHRA PRADESH,14.2205,77.9286
487,517128,ANDHRA PRADESH,14.4204,79.1205
488,517131,ANDHRA PRADESH,14.1559,77.9249
489,517167,ANDHRA PRADESH,13.3048,79.3557
490,517127,ANDHRA PRADESH,14.6613,79.028
491,517132,ANDHRA PRADESH,13.0503,79.1707
